"ПН","08:30-09:50","1-206","Технології чисельного моделювання","1","Тригуб О. ","3-7"
"ПН","10:00-11:20","1-112","Технології чисельного моделювання","0","Тригуб О. ","1-7"
"ВТ","10:00-11:20","8-6","Англійська мова","1","Іващенко П. ","1-15"
"ВТ","11:40-13:00","1-208","Математичні основи інформаційних технологій","0","Кублій Л. ","2,4-14"
"СР","13:30-14:50","1-208","Динамічні системи","0","Крюкова Г. ","1-12"
"СР","15:00-16:20","1-208","Динамічні системи","1","Крюкова Г. ","1-11"
"ЧТ","08:30-09:50","1-208","Математична біологія","0","Черніга Р. ","3-9"
"ЧТ","08:30-09:50","1-208","Математична біологія","1","Черніга Р. ","10-15"
"ЧТ","10:00-11:20","8-6","Англійська мова","1","Іващенко П. ","1-15"
"ЧТ","11:40-13:00","1-112","Розпізнавання образів","0","Михалевич В. ","1-11"
"ЧТ","13:30-14:50","1-112","Розпізнавання образів","1","Михалевич В. ","1-12"
"ЧТ","15:00-16:20","1-206","Математична біологія","1","Черніга Р. ","13"
"ПТ","08:30-09:50","1-307","Математичні основи інформаційних технологій","0","Кублій Л. ","2,4-13"
"ПТ","10:00-11:20","1-307","Прикладна алгебра та теорія чисел","0","Боднарчук Ю. ","1-7"
"ПТ","10:00-11:20","1-307","Прикладна алгебра та теорія чисел","1","Боднарчук Ю. ","9-14"
